Tamanho,Iteracao,Tipo,Tempo_ms
950,8,estatico_rapido,0.957
950,8,estatico_lento,1.768
950,8,dinamico_rapido,0.961
950,8,dinamico_lento,1.640
950,9,estatico_rapido,0.963
950,9,estatico_lento,1.682
950,9,dinamico_rapido,1.007
950,9,dinamico_lento,1.728
950,10,estatico_rapido,0.967
950,10,estatico_lento,1.716
950,10,dinamico_rapido,1.019
950,10,dinamico_lento,1.659
1000,1,estatico_rapido,0.937
1000,1,estatico_lento,1.728
1000,1,dinamico_rapido,0.968
1000,1,dinamico_lento,1.590
1000,2,estatico_rapido,0.958
1000,2,estatico_lento,1.738
1000,2,dinamico_rapido,0.967
1000,2,dinamico_lento,1.745
1000,3,estatico_rapido,0.953
1000,3,estatico_lento,1.728
1000,3,dinamico_rapido,0.988
1000,3,dinamico_lento,1.718
1000,4,estatico_rapido,0.953
1000,4,estatico_lento,1.732
1000,4,dinamico_rapido,0.967
1000,4,dinamico_lento,1.804
1000,5,estatico_rapido,0.966
1000,5,estatico_lento,1.756
1000,5,dinamico_rapido,0.935
1000,5,dinamico_lento,1.769
1000,6,estatico_rapido,0.977
1000,6,estatico_lento,1.753
1000,6,dinamico_rapido,0.981
1000,6,dinamico_lento,1.777
1000,7,estatico_rapido,0.958
1000,7,estatico_lento,1.757
1000,7,dinamico_rapido,0.984
1000,7,dinamico_lento,1.750
1000,8,estatico_rapido,0.937
1000,8,estatico_lento,1.779
1000,8,dinamico_rapido,1.063
1000,8,dinamico_lento,1.742
1000,9,estatico_rapido,0.964
1000,9,estatico_lento,1.770
1000,9,dinamico_rapido,0.989
1000,9,dinamico_lento,1.722
1000,10,estatico_rapido,0.927
1000,10,estatico_lento,1.708
1000,10,dinamico_rapido,0.970
1000,10,dinamico_lento,1.739
1050,1,estatico_rapido,1.146
1050,1,estatico_lento,1.971
1050,1,dinamico_rapido,1.270
1050,1,dinamico_lento,2.124
1050,2,estatico_rapido,1.149
1050,2,estatico_lento,2.056
1050,2,dinamico_rapido,1.154
1050,2,dinamico_lento,2.009
1050,3,estatico_rapido,1.147
1050,3,estatico_lento,1.967
1050,3,dinamico_rapido,1.144
1050,3,dinamico_lento,1.966
1050,4,estatico_rapido,1.148
1050,4,estatico_lento,1.997
1050,4,dinamico_rapido,1.169
1050,4,dinamico_lento,1.997
1050,5,estatico_rapido,1.151
1050,5,estatico_lento,2.031
1050,5,dinamico_rapido,1.214
1050,5,dinamico_lento,2.012
1050,6,estatico_rapido,1.163
1050,6,estatico_lento,2.095
1050,6,dinamico_rapido,1.181
1050,6,dinamico_lento,2.105
1050,7,estatico_rapido,1.208
1050,7,estatico_lento,2.048
1050,7,dinamico_rapido,1.512
1050,7,dinamico_lento,1.999
1050,8,estatico_rapido,1.147
1050,8,estatico_lento,2.047
1050,8,dinamico_rapido,1.146
1050,8,dinamico_lento,2.064
1050,9,estatico_rapido,1.158
1050,9,estatico_lento,2.246
1050,9,dinamico_rapido,1.163
1050,9,dinamico_lento,2.017
1050,10,estatico_rapido,1.214
1050,10,estatico_lento,2.278
1050,10,dinamico_rapido,1.156
1050,10,dinamico_lento,2.030
1100,1,estatico_rapido,1.203
1100,1,estatico_lento,2.287
1100,1,dinamico_rapido,1.191
1100,1,dinamico_lento,2.236
1100,2,estatico_rapido,1.220
1100,2,estatico_lento,2.191
1100,2,dinamico_rapido,1.252
1100,2,dinamico_lento,2.166
1100,3,estatico_rapido,1.218
1100,3,estatico_lento,2.173
1100,3,dinamico_rapido,1.225
1100,3,dinamico_lento,2.194
1100,4,estatico_rapido,1.246
1100,4,estatico_lento,2.149
1100,4,dinamico_rapido,1.236
1100,4,dinamico_lento,2.255
1100,5,estatico_rapido,1.223
1100,5,estatico_lento,2.239
1100,5,dinamico_rapido,1.198
1100,5,dinamico_lento,2.307
1100,6,estatico_rapido,1.280
1100,6,estatico_lento,2.387
